Date,Product,Region,Sales,Year,Month,Month_Name,Day,DayOfWeek,Day_Name,Quarter,DayOfYear,WeekOfYear,Is_Weekend,Is_Monday,Is_Friday,Is_Month_Start,Is_Month_End,Is_Q4,Is_December,Days_Since_Start,Lag_1,Lag_7,Lag_14,Lag_30,MA_7,MA_14,MA_30,Std_7
2021-02-22,Clothing,East,917.6,2021,2,February,22,0,Monday,1,53,8,0,1,0,0,0,0,0,52,1179.07,846.14,1012.2,1004.69,916.1457142857142,902.4978571428571,879.7553333333333,141.42541519085154
2021-02-23,Clothing,East,948.68,2021,2,February,23,1,Tuesday,1,54,8,0,0,0,0,0,0,0,53,917.6,801.66,723.07,1133.37,926.3542857142858,895.7407142857144,876.8523333333334,138.06924517033016
2021-02-24,Clothing,East,837.41,2021,2,February,24,2,Wednesday,1,55,8,0,0,0,0,0,0,0,54,948.68,785.86,653.31,750.31,947.3571428571429,911.8557142857143,870.6959999999999,126.64953700590263
2021-02-25,Clothing,East,891.22,2021,2,February,25,3,Thursday,1,56,8,0,0,0,0,1,0,0,55,837.41,890.02,840.35,739.02,954.7214285714286,925.0057142857142,873.5993333333333,116.81042296938098
2021-02-26,Clothing,East,852.91,2021,2,February,26,4,Friday,1,57,8,0,0,1,0,1,0,0,56,891.22,877.12,908.69,796.87,954.8928571428571,928.6392857142856,878.6726666666667,116.70047153779127
2021-02-27,Clothing,East,990.2,2021,2,February,27,5,Saturday,1,58,8,1,0,0,0,1,0,0,57,852.91,1033.15,1055.26,695.61,951.4342857142856,924.655,880.5406666666667,119.70947760545697
2021-02-28,Clothing,East,1052.8,2021,2,February,28,6,Sunday,1,59,8,1,0,0,0,1,0,0,58,990.2,1179.07,1029.07,778.28,945.2985714285714,920.0078571428572,890.3603333333334,115.86194938065597
2021-03-01,Clothing,East,890.56,2021,3,March,1,0,Monday,1,60,9,0,1,0,1,0,0,0,59,1052.8,917.6,846.14,966.7,927.26,921.7028571428572,899.511,76.56554251097535
2021-03-02,Clothing,East,860.65,2021,3,March,2,1,Tuesday,1,61,9,0,0,0,1,0,0,0,60,890.56,948.68,801.66,941.24,923.3971428571429,924.8757142857141,896.9730000000001,77.80618713921683
2021-03-03,Clothing,East,840.86,2021,3,March,3,2,Wednesday,1,62,9,0,0,0,1,0,0,0,61,860.65,837.41,785.86,739.25,910.8214285714286,929.0892857142857,894.2866666666666,80.11840975052083
2021-03-04,Clothing,East,869.12,2021,3,March,4,3,Thursday,1,63,9,0,0,0,1,0,0,0,62,840.86,891.22,890.02,844.65,911.3142857142857,933.0178571428571,897.6736666666667,79.60048238068703
2021-03-05,Clothing,East,1031.17,2021,3,March,5,4,Friday,1,64,9,0,0,1,1,0,0,0,63,869.12,852.91,877.12,792.62,908.157142857143,931.525,898.4893333333332,80.95701054969129
2021-03-06,Clothing,East,1062.18,2021,3,March,6,5,Saturday,1,65,9,1,0,0,0,0,0,0,64,1031.17,990.2,1033.15,844.86,933.6228571428572,942.5285714285714,906.441,88.37856390065882
2021-03-07,Clothing,East,1126.41,2021,3,March,7,6,Sunday,1,66,9,1,0,0,0,0,0,0,65,1062.18,1052.8,1179.07,696.68,943.9057142857143,944.6021428571429,913.685,99.54097077035539
2021-03-08,Clothing,East,991.71,2021,3,March,8,0,Monday,1,67,10,0,1,0,0,0,0,0,66,1126.41,890.56,917.6,1054.19,954.4214285714287,940.8407142857143,928.0093333333333,115.5611066966407
2021-03-09,Clothing,East,1016.9,2021,3,March,9,1,Tuesday,1,68,10,0,0,0,0,0,0,0,67,991.71,860.65,948.68,979.35,968.8714285714286,946.1342857142857,925.9266666666666,112.5290734919309
2021-03-10,Clothing,East,963.68,2021,3,March,10,2,Wednesday,1,69,10,0,0,0,0,0,0,0,68,1016.9,840.86,837.41,1012.2,991.1928571428572,951.0071428571429,927.1783333333334,102.53771431596705
2021-03-11,Clothing,East,899.6,2021,3,March,11,3,Thursday,1,70,10,0,0,0,0,0,0,0,69,963.68,869.12,891.22,723.07,1008.7385714285714,960.0264285714285,925.561,80.71133944053801
2021-03-12,Clothing,East,934.68,2021,3,March,12,4,Friday,1,71,10,0,0,1,0,0,0,0,70,899.6,1031.17,852.91,653.31,1013.0928571428573,960.625,931.4453333333333,72.30846601292887
2021-03-13,Clothing,East,1073.55,2021,3,March,13,5,Saturday,1,72,10,1,0,0,0,0,0,0,71,934.68,1062.18,990.2,840.35,999.3085714285714,966.4657142857143,940.8243333333334,77.31195777035876
2021-03-14,Clothing,East,1153.32,2021,3,March,14,6,Sunday,1,73,10,1,0,0,0,0,0,0,72,1073.55,1126.41,1052.8,908.69,1000.9328571428571,972.4192857142856,948.5976666666667,78.95498500501967
2021-03-15,Clothing,East,862.37,2021,3,March,15,0,Monday,1,74,11,0,1,0,0,0,0,0,73,1153.32,991.71,890.56,1055.26,1004.7771428571428,979.5992857142858,956.752,86.38790052514807
2021-03-16,Clothing,East,923.08,2021,3,March,16,1,Tuesday,1,75,11,0,0,0,0,0,0,0,74,862.37,1016.9,860.65,1029.07,986.3,977.5857142857143,950.3223333333334,102.05915490537829
2021-03-17,Clothing,East,867.11,2021,3,March,17,2,Wednesday,1,76,11,0,0,0,0,0,0,0,75,923.08,963.68,840.86,846.14,972.897142857143,982.045,946.7893333333334,103.52083441096696
2021-03-18,Clothing,East,961.16,2021,3,March,18,3,Thursday,1,77,11,0,0,0,0,0,0,0,76,867.11,899.6,869.12,801.66,959.1014285714285,983.9200000000001,947.4883333333333,111.11037356739324
2021-03-19,Clothing,East,957.18,2021,3,March,19,4,Friday,1,78,11,0,0,1,0,0,0,0,77,961.16,934.68,1031.17,785.86,967.8957142857142,990.4942857142858,952.8050000000001,108.00889791388211
2021-03-20,Clothing,East,1173.84,2021,3,March,20,5,Saturday,1,79,11,1,0,0,0,0,0,0,78,957.18,1073.55,1062.18,890.02,971.11,985.2092857142858,958.5156666666667,107.18733880454343
2021-03-21,Clothing,East,1164.84,2021,3,March,21,6,Sunday,1,80,11,1,0,0,0,0,0,0,79,1173.84,1153.32,1126.41,877.12,985.4371428571428,993.1850000000001,967.9763333333334,127.86932375336491
2021-03-22,Clothing,East,790.47,2021,3,March,22,0,Monday,1,81,12,0,1,0,0,0,0,0,80,1164.84,862.37,991.71,1033.15,987.0828571428572,995.9300000000001,977.5670000000001,130.43846348812474
2021-03-23,Clothing,East,907.3,2021,3,March,23,1,Tuesday,1,82,12,0,0,0,0,0,0,0,81,790.47,923.08,1016.9,1179.07,976.8114285714286,981.5557142857143,969.4776666666668,144.01965125502502
2021-03-24,Clothing,East,877.43,2021,3,March,24,2,Wednesday,1,83,12,0,0,0,0,0,0,0,82,907.3,867.11,963.68,917.6,974.5571428571429,973.7271428571428,960.4186666666667,145.12015673391542
2021-03-25,Clothing,East,931.06,2021,3,March,25,3,Thursday,1,84,12,0,0,0,0,1,0,0,83,877.43,961.16,899.6,948.68,976.0314285714285,967.5664285714286,959.0796666666668,143.89390656876003
2021-03-26,Clothing,East,839.29,2021,3,March,26,4,Friday,1,85,12,0,0,1,0,1,0,0,84,931.06,957.18,934.68,837.41,971.7314285714285,969.8135714285714,958.4923333333334,144.85888425505365
2021-03-27,Clothing,East,1089.84,2021,3,March,27,5,Saturday,1,86,12,1,0,0,0,1,0,0,85,839.29,1173.84,1073.55,891.22,954.89,963.0,958.5550000000001,153.43192301473633
2021-03-28,Clothing,East,1243.31,2021,3,March,28,6,Sunday,1,87,12,1,0,0,0,1,0,0,86,1089.84,1164.84,1153.32,852.91,942.89,964.1635714285715,965.1756666666666,135.71571390225958
2021-03-29,Clothing,East,1006.88,2021,3,March,29,0,Monday,1,88,13,0,1,0,0,1,0,0,87,1243.31,790.47,862.37,990.2,954.1,970.5914285714285,978.189,158.44202683210867
2021-03-30,Clothing,East,878.35,2021,3,March,30,1,Tuesday,1,89,13,0,0,0,0,1,0,0,88,1006.88,907.3,923.08,1052.8,985.0157142857142,980.9135714285713,978.745,141.38819904281766
2021-03-31,Clothing,East,945.47,2021,3,March,31,2,Wednesday,1,90,13,0,0,0,0,1,0,0,89,878.35,877.43,867.11,890.56,980.88,977.7185714285714,972.9300000000001,144.43098144096368
2021-04-01,Clothing,East,962.5,2021,4,April,1,3,Thursday,2,91,13,0,0,0,1,0,0,0,90,945.47,931.06,961.16,860.65,990.6,983.3157142857143,974.7603333333333,138.47530899044781
2021-04-02,Clothing,East,985.42,2021,4,April,2,4,Friday,2,92,13,0,0,1,1,0,0,0,91,962.5,839.29,957.18,840.86,995.0914285714285,983.4114285714286,978.1553333333334,136.72103903308266
2021-04-03,Clothing,East,1108.48,2021,4,April,3,5,Saturday,2,93,13,1,0,0,1,0,0,0,92,985.42,1089.84,1173.84,869.12,1015.9671428571428,985.4285714285714,982.974,118.97110177325781
2021-04-04,Clothing,East,1279.1,2021,4,April,4,6,Sunday,2,94,13,1,0,0,1,0,0,0,93,1108.48,1243.31,1164.84,1031.17,1018.63,980.76,990.9526666666667,121.08986497638857
2021-04-05,Clothing,East,921.78,2021,4,April,5,0,Monday,2,95,14,0,1,0,1,0,0,0,94,1279.1,1006.88,790.47,1062.18,1023.7428571428571,988.9214285714285,999.217,132.38646817988186
2021-04-06,Clothing,East,1134.17,2021,4,April,6,1,Tuesday,2,96,14,0,0,0,0,0,0,0,95,921.78,878.35,907.3,1126.41,1011.5857142857142,998.3007142857142,994.537,137.9822193686736
2021-04-07,Clothing,East,1119.09,2021,4,April,7,2,Wednesday,2,97,14,0,0,0,0,0,0,0,96,1134.17,945.47,877.43,991.71,1048.1314285714286,1014.5057142857142,994.7956666666666,130.48664304933956
2021-04-08,Clothing,East,1107.84,2021,4,April,8,3,Thursday,2,98,14,0,0,0,0,0,0,0,97,1119.09,962.5,931.06,1016.9,1072.9342857142858,1031.7671428571427,999.0416666666666,124.06319758590044
2021-04-09,Clothing,East,1036.55,2021,4,April,9,4,Friday,2,99,14,0,0,1,0,0,0,0,98,1107.84,985.42,839.29,963.68,1093.6971428571428,1044.3942857142858,1002.073,114.27675889615364
2021-04-10,Clothing,East,1099.4,2021,4,April,10,5,Saturday,2,100,14,1,0,0,0,0,0,0,99,1036.55,1108.48,1089.84,899.6,1101.0014285714285,1058.4842857142855,1004.502,107.64405378043801
2021-04-11,Clothing,East,1183.59,2021,4,April,11,6,Sunday,2,101,14,1,0,0,0,0,0,0,100,1099.4,1279.1,1243.31,934.68,1099.7042857142858,1059.1671428571428,1011.162,107.59361146727785
2021-04-12,Clothing,East,1069.9,2021,4,April,12,0,Monday,2,102,15,0,1,0,0,0,0,0,101,1183.59,921.78,1006.88,1073.55,1086.06,1054.9014285714286,1019.4590000000001,84.66516048529111
2021-04-13,Clothing,East,1150.48,2021,4,April,13,1,Tuesday,2,103,15,0,0,0,0,0,0,0,102,1069.9,1134.17,878.35,1153.32,1107.22,1059.4028571428573,1019.3373333333333,46.81193651196372
2021-04-14,Clothing,East,1030.34,2021,4,April,14,2,Wednesday,2,104,15,0,0,0,0,0,0,0,103,1150.48,1119.09,945.47,862.37,1109.55,1078.8407142857143,1019.2426666666667,48.742977613875745
2021-04-15,Clothing,East,990.47,2021,4,April,15,3,Thursday,2,105,15,0,0,0,0,0,0,0,104,1030.34,1107.84,962.5,923.08,1096.8714285714286,1084.902857142857,1024.8416666666665,56.73513973678474
2021-04-16,Clothing,East,975.23,2021,4,April,16,4,Friday,2,106,15,0,0,1,0,0,0,0,105,990.47,1036.55,985.42,867.11,1080.1042857142857,1086.9007142857142,1027.088,68.97614487563689
2021-04-17,Clothing,East,1222.73,2021,4,April,17,5,Saturday,2,107,15,1,0,0,0,0,0,0,106,975.23,1099.4,1108.48,961.16,1071.344285714286,1086.172857142857,1030.692,78.64554254313995
2021-04-18,Clothing,East,1228.51,2021,4,April,18,6,Sunday,2,108,15,1,0,0,0,0,0,0,107,1222.73,1183.59,1279.1,957.18,1088.962857142857,1094.3335714285715,1039.4109999999998,97.52635638880543
2021-04-19,Clothing,East,1065.4,2021,4,April,19,0,Monday,2,109,16,0,1,0,0,0,0,0,108,1228.51,1069.9,921.78,1173.84,1095.3799999999999,1090.7199999999998,1048.4553333333333,105.90812999954301
2021-04-20,Clothing,East,820.72,2021,4,April,20,1,Tuesday,2,110,16,0,0,0,0,0,0,0,109,1065.4,1150.48,1134.17,1164.84,1094.7371428571428,1100.9785714285715,1044.8406666666665,106.10204925986567
2021-04-21,Clothing,East,1162.47,2021,4,April,21,2,Wednesday,2,111,16,0,0,0,0,0,0,0,110,820.72,1030.34,1119.09,790.47,1047.6285714285714,1078.5892857142858,1033.37,143.75295654102484
2021-04-22,Clothing,East,905.72,2021,4,April,22,3,Thursday,2,112,16,0,0,0,0,0,0,0,111,1162.47,990.47,1107.84,907.3,1066.5042857142857,1081.6878571428572,1045.77,149.65799119516305
2021-04-23,Clothing,East,1086.92,2021,4,April,23,4,Friday,2,113,16,0,0,1,0,0,0,0,112,905.72,975.23,1036.55,877.43,1054.3971428571429,1067.2507142857144,1045.7173333333333,159.91111048686682
2021-04-24,Clothing,East,1163.35,2021,4,April,24,5,Saturday,2,114,16,1,0,0,0,0,0,0,113,1086.92,1222.73,1099.4,931.06,1070.3528571428571,1070.8485714285714,1052.7003333333332,156.22504362983207
2021-04-25,Clothing,East,1232.28,2021,4,April,25,6,Sunday,2,115,16,1,0,0,0,1,0,0,114,1163.35,1228.51,1183.59,839.29,1061.8700000000001,1075.4164285714285,1060.4433333333334,147.9659580218822
2021-04-26,Clothing,East,1101.85,2021,4,April,26,0,Monday,2,116,17,0,1,0,0,1,0,0,115,1232.28,1065.4,1069.9,1089.84,1062.4085714285716,1078.8942857142858,1073.5430000000001,148.67873446109382
2021-04-27,Clothing,East,1069.34,2021,4,April,27,1,Tuesday,2,117,17,0,0,0,0,1,0,0,116,1101.85,820.72,1150.48,1243.31,1067.6157142857144,1081.1764285714285,1073.9433333333334,149.43731895091722
2021-04-28,Clothing,East,896.51,2021,4,April,28,2,Wednesday,2,118,17,0,0,0,0,1,0,0,117,1069.34,1162.47,1030.34,1006.88,1103.1328571428571,1075.3807142857142,1068.1443333333332,103.44425321790287
2021-04-29,Clothing,East,1008.71,2021,4,April,29,3,Thursday,2,119,17,0,0,0,0,1,0,0,118,896.51,905.72,990.47,878.35,1065.1385714285714,1065.8214285714287,1064.4653333333333,124.68054478393623
2021-04-30,Clothing,East,1136.73,2021,4,April,30,4,Friday,2,120,17,0,0,1,0,1,0,0,119,1008.71,1086.92,975.23,945.47,1079.8514285714284,1067.1242857142856,1068.8106666666667,107.64606749723433
2021-05-01,Clothing,East,1083.88,2021,5,May,1,5,Saturday,2,121,17,1,0,0,1,0,0,0,120,1136.73,1163.35,1222.73,962.5,1086.9671428571428,1078.66,1075.1860000000001,109.81562467977682
2021-05-02,Clothing,East,1280.39,2021,5,May,2,6,Sunday,2,122,17,1,0,0,1,0,0,0,121,1083.88,1232.28,1228.51,985.42,1075.6142857142856,1068.7421428571429,1079.232,104.58633321442234
2021-05-03,Clothing,East,1166.02,2021,5,May,3,0,Monday,2,123,18,0,1,0,1,0,0,0,122,1280.39,1101.85,1065.4,1108.48,1082.487142857143,1072.4478571428572,1089.0643333333333,117.39399512102945
2021-05-04,Clothing,East,1091.34,2021,5,May,4,1,Tuesday,2,124,18,0,0,0,1,0,0,0,123,1166.02,1069.34,820.72,1279.1,1091.6542857142856,1079.635,1090.9823333333334,121.58855687072226
2021-05-05,Clothing,East,1149.23,2021,5,May,5,2,Wednesday,2,125,18,0,0,0,1,0,0,0,124,1091.34,896.51,1162.47,921.78,1094.797142857143,1098.965,1084.7236666666665,121.19934786874731
2021-05-06,Clothing,East,1093.83,2021,5,May,6,3,Thursday,2,126,18,0,0,0,0,0,0,0,125,1149.23,1008.71,905.72,1134.17,1130.8999999999999,1098.0192857142858,1092.3053333333332,84.31777432230275
2021-05-07,Clothing,East,1189.55,2021,5,May,7,4,Friday,2,127,18,0,0,1,0,0,0,0,126,1093.83,1136.73,1086.92,1119.09,1143.06,1111.4557142857143,1090.9606666666666,68.39304545541737
2021-05-08,Clothing,East,1263.06,2021,5,May,8,5,Saturday,2,128,18,1,0,0,0,0,0,0,127,1189.55,1083.88,1163.35,1107.84,1150.6057142857142,1118.7864285714286,1093.3093333333334,70.46079119083332
2021-05-09,Clothing,East,1171.19,2021,5,May,9,6,Sunday,2,129,18,1,0,0,0,0,0,0,128,1263.06,1280.39,1232.28,1036.55,1176.202857142857,1125.9085714285713,1098.4833333333333,74.60505785228624
2021-05-10,Clothing,East,1163.53,2021,5,May,10,0,Monday,2,130,19,0,1,0,0,0,0,0,129,1171.19,1166.02,1101.85,1099.4,1160.6028571428571,1121.545,1102.9713333333334,58.966284071009326
2021-05-11,Clothing,East,1060.93,2021,5,May,11,1,Tuesday,2,131,19,0,0,0,0,0,0,0,130,1163.53,1091.34,1069.34,1183.59,1160.2471428571428,1125.9507142857142,1105.109,58.93566116658884
2021-05-12,Clothing,East,1036.17,2021,5,May,12,2,Wednesday,2,132,19,0,0,0,0,0,0,0,131,1060.93,1149.23,896.51,1069.9,1155.902857142857,1125.35,1101.0203333333334,65.60495883551509
2021-05-13,Clothing,East,918.24,2021,5,May,13,3,Thursday,2,133,19,0,0,0,0,0,0,0,132,1036.17,1093.83,1008.71,1150.48,1139.7514285714285,1135.3257142857142,1099.8960000000002,79.88472245024379
2021-05-14,Clothing,East,1073.37,2021,5,May,14,4,Friday,2,134,19,0,0,1,0,0,0,0,133,918.24,1189.55,1136.73,1030.34,1114.6671428571428,1128.8635714285715,1092.1546666666668,116.077128771389
2021-05-15,Clothing,East,1256.39,2021,5,May,15,5,Saturday,2,135,19,1,0,0,0,0,0,0,134,1073.37,1263.06,1083.88,990.47,1098.07,1124.3378571428573,1093.589,111.81320330503654
2021-05-16,Clothing,East,1212.49,2021,5,May,16,6,Sunday,2,136,19,1,0,0,0,0,0,0,135,1256.39,1171.19,1280.39,975.23,1097.1171428571429,1136.66,1102.4530000000002,110.1894741969923
2021-05-17,Clothing,East,1087.17,2021,5,May,17,0,Monday,2,137,20,0,1,0,0,0,0,0,136,1212.49,1163.53,1166.02,1222.73,1103.017142857143,1131.81,1110.3616666666667,115.78051026465103
2021-05-18,Clothing,East,1055.45,2021,5,May,18,1,Tuesday,2,138,20,0,0,0,0,0,0,0,137,1087.17,1060.93,1091.34,1228.51,1092.1085714285714,1126.1778571428572,1105.843,112.68474230178262
2021-05-19,Clothing,East,1068.0,2021,5,May,19,2,Wednesday,2,139,20,0,0,0,0,0,0,0,138,1055.45,1036.17,1149.23,1065.4,1091.3257142857144,1123.6142857142856,1100.0743333333332,112.95615991128979
2021-05-20,Clothing,East,1053.53,2021,5,May,20,3,Thursday,2,140,20,0,0,0,0,0,0,0,139,1068.0,918.24,1093.83,820.72,1095.8728571428571,1117.8121428571428,1100.161,110.98931250564758
2021-05-21,Clothing,East,1039.09,2021,5,May,21,4,Friday,2,141,20,0,0,1,0,0,0,0,140,1053.53,1073.37,1189.55,1162.47,1115.2,1114.9335714285714,1107.9213333333332,83.20304621827316
2021-05-22,Clothing,East,1359.05,2021,5,May,22,5,Saturday,2,142,20,1,0,0,0,0,0,0,141,1039.09,1256.39,1263.06,905.72,1110.3028571428572,1104.1864285714285,1103.8086666666668,86.99769206024735
2021-05-23,Clothing,East,1319.74,2021,5,May,23,6,Sunday,2,143,20,1,0,0,0,0,0,0,142,1359.05,1212.49,1171.19,1086.92,1124.9685714285715,1111.0428571428572,1118.919666666667,118.63086731939744
2021-05-24,Clothing,East,1045.52,2021,5,May,24,0,Monday,2,144,21,0,1,0,0,0,0,0,143,1319.74,1087.17,1163.53,1163.35,1140.2900000000002,1121.6535714285715,1126.6803333333332,137.27853789528345
2021-05-25,Clothing,East,1081.75,2021,5,May,25,1,Tuesday,2,145,21,0,0,0,0,1,0,0,144,1045.52,1055.45,1060.93,1232.28,1134.34,1113.2242857142858,1122.7526666666668,140.82150806369543
2021-05-26,Clothing,East,1028.33,2021,5,May,26,2,Wednesday,2,146,21,0,0,0,0,1,0,0,145,1081.75,1068.0,1036.17,1101.85,1138.0971428571427,1114.7114285714285,1117.735,138.70078463059596
2021-05-27,Clothing,East,1139.74,2021,5,May,27,3,Thursday,2,147,21,0,0,0,0,1,0,0,146,1028.33,1053.53,918.24,1069.34,1132.4299999999998,1114.1514285714286,1115.2843333333333,142.79230056274082
2021-05-28,Clothing,East,981.51,2021,5,May,28,4,Friday,2,148,21,0,0,1,0,1,0,0,147,1139.74,1039.09,1073.37,896.51,1144.7457142857143,1129.9728571428573,1117.631,138.50651908329638
2021-05-29,Clothing,East,1354.62,2021,5,May,29,5,Saturday,2,149,21,1,0,0,0,1,0,0,148,981.51,1359.05,1256.39,1008.71,1136.52,1123.4114285714286,1120.4643333333333,147.2602383537393
2021-05-30,Clothing,East,1147.72,2021,5,May,30,6,Sunday,2,150,21,1,0,0,0,1,0,0,149,1354.62,1319.74,1212.49,1136.73,1135.8871428571429,1130.4278571428572,1131.9946666666665,146.14985023533083
2021-05-31,Clothing,East,1016.53,2021,5,May,31,0,Monday,2,151,22,0,1,0,0,1,0,0,150,1147.72,1045.52,1087.17,1083.88,1111.3128571428572,1125.8014285714287,1132.361,122.65775362287387
2021-06-01,Clothing,East,1146.9,2021,6,June,1,1,Tuesday,2,152,22,0,0,0,1,0,0,0,151,1016.53,1081.75,1055.45,1280.39,1107.1714285714286,1120.7557142857142,1130.1159999999998,125.70108530804
2021-06-02,Clothing,East,1132.93,2021,6,June,2,2,Wednesday,2,153,22,0,0,0,1,0,0,0,152,1146.9,1028.33,1068.0,1166.02,1116.4785714285715,1127.287857142857,1125.6663333333333,125.91685556066679
2021-06-03,Clothing,East,1211.8,2021,6,June,3,3,Thursday,2,154,22,0,0,0,1,0,0,0,153,1132.93,1139.74,1053.53,1091.34,1131.4214285714286,1131.9257142857143,1124.5633333333333,119.76907160985188
2021-06-04,Clothing,East,1239.71,2021,6,June,4,4,Friday,2,155,22,0,0,1,1,0,0,0,154,1211.8,981.51,1039.09,1149.23,1141.7157142857143,1143.2307142857144,1128.5786666666668,123.63757045725035
2021-06-05,Clothing,East,1308.05,2021,6,June,5,5,Saturday,2,156,22,1,0,0,1,0,0,0,155,1239.71,1354.62,1359.05,1093.83,1178.6014285714286,1157.5607142857143,1131.5946666666666,104.98461052753959
2021-06-06,Clothing,East,1312.51,2021,6,June,6,6,Sunday,2,157,22,1,0,0,0,0,0,0,156,1308.05,1147.72,1319.74,1189.55,1171.9485714285713,1153.917857142857,1138.7353333333333,92.73185562480231
2021-06-07,Clothing,East,1150.17,2021,6,June,7,0,Monday,2,158,23,0,1,0,0,0,0,0,157,1312.51,1016.53,1045.52,1263.06,1195.49,1153.4014285714286,1142.834,105.58273359471933
