Date,Product,Region,Sales
2021-01-07,Electronics,South,1432.84
2021-01-07,Electronics,North,1728.72
2021-01-07,Clothing,East,779.31
2021-01-08,Furniture,West,1034.05
2021-01-08,Furniture,East,925.64
2021-01-08,Furniture,South,1082.72
2021-01-08,Furniture,North,1169.21
2021-01-08,Food,West,734.12
2021-01-08,Food,East,848.02
2021-01-08,Food,South,659.64
2021-01-08,Food,North,908.67
2021-01-08,Clothing,West,925.0
2021-01-08,Clothing,South,671.5
2021-01-08,Clothing,North,897.59
2021-01-08,Electronics,West,1668.04
2021-01-08,Electronics,East,1504.97
2021-01-08,Electronics,South,1597.2
2021-01-08,Electronics,North,1708.2
2021-01-08,Clothing,East,883.85
2021-01-09,Food,South,767.32
2021-01-09,Furniture,West,1235.87
2021-01-09,Furniture,East,1009.92
2021-01-09,Furniture,South,1142.52
2021-01-09,Furniture,North,1285.24
2021-01-09,Food,East,893.21
2021-01-09,Food,North,893.09
2021-01-09,Food,West,832.19
2021-01-09,Clothing,East,910.04
2021-01-09,Clothing,South,937.02
2021-01-09,Clothing,North,1008.04
2021-01-09,Clothing,West,1169.53
2021-01-09,Electronics,West,1864.5
2021-01-09,Electronics,East,1596.85
2021-01-09,Electronics,South,1562.98
2021-01-09,Electronics,North,1936.34
2021-01-10,Furniture,West,1274.69
2021-01-10,Furniture,East,1041.68
2021-01-10,Furniture,South,1084.9
2021-01-10,Furniture,North,1423.48
2021-01-10,Food,West,866.26
2021-01-10,Food,East,862.53
2021-01-10,Food,South,798.76
2021-01-10,Food,North,900.65
2021-01-10,Clothing,West,1079.14
2021-01-10,Clothing,East,992.48
2021-01-10,Clothing,South,926.04
2021-01-10,Clothing,North,1132.86
2021-01-10,Electronics,West,1745.09
2021-01-10,Electronics,East,1622.5
2021-01-10,Electronics,South,1659.12
2021-01-10,Electronics,North,1951.32
2021-01-11,Furniture,West,1148.7
2021-01-11,Furniture,East,1022.33
2021-01-11,Furniture,South,955.26
2021-01-11,Furniture,North,1115.29
2021-01-11,Food,West,773.88
2021-01-11,Food,East,712.13
2021-01-11,Food,South,669.86
2021-01-11,Food,North,840.87
2021-01-11,Clothing,West,1013.34
2021-01-11,Clothing,East,863.04
2021-01-11,Clothing,South,775.99
2021-01-11,Clothing,North,977.69
2021-01-11,Electronics,West,1572.86
2021-01-11,Electronics,East,1614.69
2021-01-11,Electronics,South,1474.03
2021-01-11,Electronics,North,1617.32
2021-01-12,Furniture,West,1151.67
2021-01-12,Furniture,East,968.64
2021-01-12,Furniture,South,826.32
2021-01-12,Furniture,North,1051.25
2021-01-12,Food,West,822.61
2021-01-12,Food,East,794.44
2021-01-12,Food,South,752.27
2021-01-12,Food,North,842.96
2021-01-12,Clothing,West,907.01
2021-01-12,Clothing,East,731.09
2021-01-12,Clothing,South,693.83
2021-01-12,Clothing,North,951.83
2021-01-12,Electronics,West,1879.38
2021-01-12,Electronics,East,1501.38
2021-01-12,Electronics,South,1524.12
2021-01-12,Electronics,North,1706.43
2021-01-13,Furniture,East,1041.3
2021-01-13,Furniture,South,867.08
2021-01-13,Furniture,North,1007.27
2021-01-13,Food,West,896.21
2021-01-13,Food,East,831.58
2021-01-13,Food,South,744.23
2021-01-13,Food,North,882.64
2021-01-13,Furniture,West,1124.51
2021-01-13,Clothing,East,810.67
2021-01-13,Clothing,South,760.15
2021-01-13,Clothing,North,834.1
2021-01-13,Electronics,West,1678.25
2021-01-13,Electronics,East,1536.96
2021-01-13,Electronics,South,1323.81
2021-01-13,Electronics,North,1725.06
2021-01-13,Clothing,West,784.72
2021-01-14,Furniture,West,952.86
2021-01-14,Furniture,East,1054.7
2021-01-14,Furniture,South,802.76
2021-01-14,Furniture,North,1318.05
2021-01-14,Food,West,833.83
2021-01-14,Food,East,738.03
2021-01-14,Food,South,700.24
2021-01-14,Food,North,807.27
2021-01-14,Clothing,West,929.1
2021-01-14,Clothing,East,785.08
2021-01-14,Clothing,South,793.06
2021-01-14,Clothing,North,978.8
2021-01-14,Electronics,West,1743.66
2021-01-14,Electronics,East,1569.33
2021-01-14,Electronics,South,1703.64
2021-01-14,Electronics,North,1752.64
2021-01-15,Furniture,East,954.14
2021-01-15,Furniture,South,946.52
2021-01-15,Furniture,North,954.12
2021-01-15,Food,West,870.19
2021-01-15,Food,East,896.34
2021-01-15,Food,South,677.6
2021-01-15,Food,North,862.89
2021-01-15,Furniture,West,1153.13
2021-01-15,Clothing,East,756.57
2021-01-15,Clothing,South,795.4
2021-01-15,Clothing,North,848.54
2021-01-15,Electronics,West,1553.03
2021-01-15,Electronics,East,1529.35
2021-01-15,Electronics,South,1498.53
2021-01-15,Electronics,North,1664.83
2021-01-15,Clothing,West,888.68
2021-01-16,Furniture,East,1020.37
2021-01-16,Furniture,South,1126.94
2021-01-16,Furniture,North,1448.71
2021-01-16,Food,West,975.59
2021-01-16,Food,East,772.6
2021-01-16,Food,South,811.47
2021-01-16,Food,North,1068.68
2021-01-16,Furniture,West,1185.85
2021-01-16,Clothing,East,945.0
2021-01-16,Clothing,South,888.0
2021-01-16,Clothing,North,1001.54
2021-01-16,Electronics,West,1937.54
2021-01-16,Electronics,East,1765.16
2021-01-16,Electronics,South,1595.49
2021-01-16,Electronics,North,1860.72
2021-01-16,Clothing,West,1007.12
2021-01-17,Furniture,West,1109.36
2021-01-17,Furniture,East,1242.97
2021-01-17,Furniture,South,1064.55
2021-01-17,Furniture,North,1234.1
2021-01-17,Food,West,824.03
2021-01-17,Food,East,946.74
2021-01-17,Food,South,719.76
2021-01-17,Food,North,933.68
2021-01-17,Clothing,West,979.66
2021-01-17,Clothing,South,906.41
2021-01-17,Clothing,North,1023.58
2021-01-17,Electronics,West,1930.26
2021-01-17,Electronics,East,1760.81
2021-01-17,Electronics,South,1551.88
2021-01-17,Electronics,North,2045.86
2021-01-17,Clothing,East,751.91
2021-01-18,Food,South,752.44
2021-01-18,Furniture,West,1133.51
2021-01-18,Furniture,East,994.04
2021-01-18,Furniture,South,798.89
2021-01-18,Furniture,North,1305.25
2021-01-18,Food,West,750.69
2021-01-18,Food,East,864.51
2021-01-18,Food,North,869.3
2021-01-18,Electronics,West,1687.85
2021-01-18,Clothing,East,814.24
2021-01-18,Clothing,South,713.62
2021-01-18,Clothing,North,922.08
2021-01-18,Clothing,West,844.97
2021-01-18,Electronics,East,1447.34
2021-01-18,Electronics,South,1419.81
2021-01-18,Electronics,North,1813.18
2021-01-19,Furniture,West,1135.9
2021-01-19,Furniture,East,1062.02
2021-01-19,Furniture,South,896.49
2021-01-19,Furniture,North,1057.06
2021-01-19,Food,West,872.29
2021-01-19,Food,East,818.67
2021-01-19,Food,South,733.15
2021-01-19,Food,North,922.74
2021-01-19,Clothing,East,834.89
2021-01-19,Clothing,South,808.52
2021-01-19,Clothing,North,860.88
2021-01-19,Electronics,West,1605.92
2021-01-19,Electronics,East,1509.76
2021-01-19,Electronics,South,1373.23
2021-01-19,Electronics,North,1734.75
2021-01-19,Clothing,West,822.31
2021-01-20,Food,South,761.91
2021-01-20,Furniture,West,1076.51
2021-01-20,Furniture,East,1030.84
2021-01-20,Furniture,South,914.43
2021-01-20,Furniture,North,1184.59
2021-01-20,Food,West,833.45
2021-01-20,Food,East,848.78
2021-01-20,Food,North,918.37
2021-01-20,Electronics,North,1708.32
2021-01-20,Clothing,East,795.21
2021-01-20,Clothing,South,740.56
2021-01-20,Clothing,North,950.6
2021-01-20,Electronics,West,1598.0
2021-01-20,Electronics,East,1629.17
2021-01-20,Electronics,South,1428.8
2021-01-20,Clothing,West,958.35
2021-01-21,Food,South,752.09
2021-01-21,Furniture,West,1075.73
2021-01-21,Furniture,East,1080.21
2021-01-21,Furniture,South,889.35
2021-01-21,Furniture,North,1134.29
2021-01-21,Food,West,774.54
2021-01-21,Food,East,770.27
2021-01-21,Food,North,905.46
2021-01-21,Electronics,North,1719.5
2021-01-21,Clothing,East,892.07
2021-01-21,Clothing,South,675.19
2021-01-21,Clothing,North,829.45
2021-01-21,Electronics,West,1830.49
2021-01-21,Electronics,East,1462.05
2021-01-21,Electronics,South,1464.86
2021-01-21,Clothing,West,935.73
2021-01-22,Furniture,West,1207.74
2021-01-22,Furniture,East,1030.95
2021-01-22,Furniture,South,922.21
2021-01-22,Furniture,North,1068.19
2021-01-22,Food,West,742.07
2021-01-22,Food,East,684.66
2021-01-22,Food,South,730.49
2021-01-22,Food,North,832.48
2021-01-22,Clothing,East,828.7
2021-01-22,Clothing,South,770.61
2021-01-22,Clothing,North,844.47
2021-01-22,Electronics,West,1601.6
2021-01-22,Electronics,East,1561.09
2021-01-22,Electronics,South,1397.18
2021-01-22,Electronics,North,1637.46
2021-01-22,Clothing,West,838.15
2021-01-23,Food,South,877.98
2021-01-23,Furniture,West,1230.25
2021-01-23,Furniture,East,1154.98
2021-01-23,Furniture,South,1030.52
2021-01-23,Furniture,North,1332.73
2021-01-23,Food,West,946.3
2021-01-23,Food,East,845.57
2021-01-23,Food,North,989.25
2021-01-23,Electronics,North,2012.89
2021-01-23,Clothing,East,1004.69
2021-01-23,Electronics,South,1595.7
2021-01-23,Electronics,East,1727.09
2021-01-23,Clothing,West,998.13
2021-01-23,Clothing,North,1098.5
2021-01-23,Clothing,South,894.56
2021-01-23,Electronics,West,1780.28
2021-01-24,Furniture,West,1187.24
2021-01-24,Furniture,East,979.43
2021-01-24,Furniture,South,1017.21
2021-01-24,Furniture,North,1204.84
2021-01-24,Food,West,868.48
2021-01-24,Food,East,984.04
2021-01-24,Food,North,1013.59
2021-01-24,Food,South,803.19
2021-01-24,Clothing,East,1133.37
2021-01-24,Clothing,South,976.31
2021-01-24,Clothing,North,1214.34
2021-01-24,Electronics,West,1910.52
2021-01-24,Electronics,East,1731.12
2021-01-24,Electronics,South,1550.6
2021-01-24,Electronics,North,1945.41
2021-01-24,Clothing,West,1003.25
2021-01-25,Furniture,West,1190.28
2021-01-25,Furniture,East,1000.69
2021-01-25,Furniture,South,1033.06
2021-01-25,Furniture,North,986.49
2021-01-25,Food,West,804.65
2021-01-25,Food,East,843.97
2021-01-25,Food,South,821.27
2021-01-25,Food,North,777.26
2021-01-25,Clothing,East,750.31
2021-01-25,Clothing,South,718.72
2021-01-25,Clothing,North,985.3
2021-01-25,Electronics,West,1814.18
2021-01-25,Electronics,East,1557.05
2021-01-25,Electronics,South,1433.82
2021-01-25,Electronics,North,1645.25
2021-01-25,Clothing,West,915.45
2021-01-26,Furniture,West,1029.99
2021-01-26,Furniture,East,1034.75
2021-01-26,Furniture,South,1028.26
2021-01-26,Furniture,North,1002.14
2021-01-26,Food,West,762.77
2021-01-26,Food,East,816.45
2021-01-26,Food,South,748.29
2021-01-26,Food,North,874.68
2021-01-26,Clothing,West,868.09
2021-01-26,Clothing,South,797.34
2021-01-26,Clothing,North,876.11
2021-01-26,Electronics,West,1656.74
2021-01-26,Electronics,East,1530.68
2021-01-26,Electronics,South,1378.54
2021-01-26,Electronics,North,1571.03
2021-01-26,Clothing,East,739.02
2021-01-27,Food,South,796.47
2021-01-27,Furniture,West,926.03
2021-01-27,Furniture,East,921.63
2021-01-27,Furniture,South,816.98
2021-01-27,Furniture,North,1220.53
2021-01-27,Food,West,880.7
2021-01-27,Food,East,716.4
2021-01-27,Food,North,910.59
2021-01-27,Electronics,North,1853.49
2021-01-27,Clothing,East,796.87
2021-01-27,Electronics,South,1432.26
2021-01-27,Electronics,East,1625.15
2021-01-27,Clothing,West,952.89
2021-01-27,Clothing,North,1073.58
2021-01-27,Clothing,South,871.57
2021-01-27,Electronics,West,1659.1
2021-01-28,Furniture,West,1015.67
2021-01-28,Furniture,East,1038.42
2021-01-28,Furniture,South,986.87
2021-01-28,Furniture,North,1022.66
2021-01-28,Food,West,831.06
2021-01-28,Food,East,650.8
2021-01-28,Food,North,893.64
2021-01-28,Food,South,718.79
2021-01-28,Clothing,East,695.61
2021-01-28,Clothing,South,667.97
2021-01-28,Clothing,North,1040.32
2021-01-28,Electronics,West,1660.27
2021-01-28,Electronics,East,1651.54
2021-01-28,Electronics,South,1477.55
2021-01-28,Electronics,North,1690.98
2021-01-28,Clothing,West,875.84
2021-01-29,Furniture,West,1109.73
2021-01-29,Furniture,East,959.0
2021-01-29,Furniture,South,943.13
2021-01-29,Furniture,North,1297.89
2021-01-29,Food,West,759.81
2021-01-29,Food,East,742.18
2021-01-29,Food,North,861.26
2021-01-29,Food,South,663.36
2021-01-29,Clothing,East,778.28
2021-01-29,Electronics,North,1669.69
2021-01-29,Electronics,South,1345.87
2021-01-29,Electronics,East,1526.89
2021-01-29,Clothing,West,820.69
2021-01-29,Clothing,North,835.97
2021-01-29,Clothing,South,791.14
2021-01-29,Electronics,West,1736.98
2021-01-30,Furniture,West,1324.07
2021-01-30,Furniture,East,1372.94
2021-01-30,Furniture,South,1083.79
2021-01-30,Furniture,North,1327.5
2021-01-30,Food,West,908.29
2021-01-30,Food,East,954.65
2021-01-30,Food,North,856.84
2021-01-30,Food,South,872.31
2021-01-30,Clothing,East,966.7
2021-01-30,Clothing,South,879.45
2021-01-30,Clothing,North,1062.67
2021-01-30,Electronics,West,1936.5
2021-01-30,Electronics,East,1781.59
2021-01-30,Electronics,South,1594.74
2021-01-30,Electronics,North,1930.29
2021-01-30,Clothing,West,890.8
2021-01-31,Furniture,West,1277.63
2021-01-31,Furniture,East,1256.81
2021-01-31,Furniture,South,1002.52
2021-01-31,Furniture,North,1286.19
2021-01-31,Food,West,1020.92
2021-01-31,Food,East,856.02
2021-01-31,Food,South,845.74
2021-01-31,Food,North,1072.66
2021-01-31,Clothing,East,941.24
2021-01-31,Electronics,North,1929.51
2021-01-31,Electronics,South,1540.6
2021-01-31,Electronics,East,1604.49
2021-01-31,Clothing,West,983.65
2021-01-31,Clothing,North,1045.58
2021-01-31,Clothing,South,824.86
2021-01-31,Electronics,West,1889.23
2021-02-01,Furniture,West,1072.74
2021-02-01,Furniture,East,1017.33
2021-02-01,Furniture,South,869.3
2021-02-01,Furniture,North,1120.77
2021-02-01,Food,West,712.07
2021-02-01,Food,South,634.2
2021-02-01,Food,North,752.78
2021-02-01,Food,East,675.62
2021-02-01,Clothing,East,739.25
2021-02-01,Clothing,South,902.85
2021-02-01,Clothing,North,1010.22
2021-02-01,Electronics,West,1572.94
2021-02-01,Electronics,East,1497.0
2021-02-01,Electronics,South,1443.2
2021-02-01,Electronics,North,1662.16
2021-02-01,Clothing,West,946.68
2021-02-02,Furniture,West,1081.3
2021-02-02,Furniture,East,875.53
2021-02-02,Furniture,South,801.88
2021-02-02,Furniture,North,1053.2
2021-02-02,Food,West,805.63
2021-02-02,Food,East,671.96
2021-02-02,Food,South,692.21
2021-02-02,Food,North,684.94
2021-02-02,Clothing,West,961.52
2021-02-02,Clothing,South,715.42
2021-02-02,Clothing,North,977.49
2021-02-02,Electronics,West,1758.27
2021-02-02,Electronics,East,1521.46
2021-02-02,Electronics,South,1390.35
2021-02-02,Electronics,North,1734.3
2021-02-02,Clothing,East,844.65
2021-02-03,Furniture,West,1194.77
2021-02-03,Furniture,East,1037.89
2021-02-03,Furniture,South,849.48
2021-02-03,Furniture,North,1188.13
2021-02-03,Food,West,731.86
2021-02-03,Food,East,772.64
2021-02-03,Food,South,640.95
2021-02-03,Food,North,739.92
2021-02-03,Clothing,East,792.62
2021-02-03,Clothing,South,700.73
2021-02-03,Clothing,North,933.66
2021-02-03,Electronics,West,1550.05
2021-02-03,Electronics,East,1619.24
2021-02-03,Electronics,South,1391.1
2021-02-03,Electronics,North,1779.6
2021-02-03,Clothing,West,908.89
2021-02-04,Food,South,677.12
2021-02-04,Furniture,West,1044.5
2021-02-04,Furniture,East,1028.28
2021-02-04,Furniture,South,898.62
2021-02-04,Furniture,North,1077.59
2021-02-04,Food,West,743.15
2021-02-04,Food,East,733.07
2021-02-04,Food,North,876.83
2021-02-04,Electronics,West,1676.65
2021-02-04,Clothing,East,844.86
2021-02-04,Electronics,North,1535.48
2021-02-04,Electronics,South,1399.6
2021-02-04,Electronics,East,1614.87
2021-02-04,Clothing,West,894.13
2021-02-04,Clothing,North,968.55
2021-02-04,Clothing,South,740.76
2021-02-05,Furniture,West,900.09
2021-02-05,Furniture,East,1061.46
2021-02-05,Furniture,South,914.02
2021-02-05,Furniture,North,1146.62
2021-02-05,Food,West,879.07
2021-02-05,Food,South,643.82
2021-02-05,Food,North,673.25
2021-02-05,Food,East,714.47
2021-02-05,Clothing,East,696.68
2021-02-05,Clothing,South,754.03
2021-02-05,Clothing,North,1034.24
2021-02-05,Electronics,West,1666.62
2021-02-05,Electronics,East,1638.94
2021-02-05,Electronics,South,1613.81
2021-02-05,Electronics,North,1783.52
2021-02-05,Clothing,West,830.28
2021-02-06,Food,South,752.19
2021-02-06,Furniture,West,1181.49
2021-02-06,Furniture,East,1135.17
2021-02-06,Furniture,South,991.0
2021-02-06,Furniture,North,1335.12
2021-02-06,Food,West,802.36
2021-02-06,Food,North,901.41
2021-02-06,Food,East,766.35
2021-02-06,Clothing,East,1054.19
2021-02-06,Clothing,South,912.17
2021-02-06,Clothing,North,1157.62
2021-02-06,Electronics,West,2010.2
2021-02-06,Electronics,East,1651.51
2021-02-06,Electronics,South,1703.27
2021-02-06,Electronics,North,2003.29
2021-02-06,Clothing,West,1262.35
2021-02-07,Furniture,West,1119.96
2021-02-07,Furniture,East,1072.32
2021-02-07,Furniture,South,1182.13
2021-02-07,Furniture,North,1300.72
2021-02-07,Food,West,945.87
2021-02-07,Food,East,846.64
2021-02-07,Food,South,687.4
2021-02-07,Food,North,940.67
2021-02-07,Clothing,West,1119.81
2021-02-07,Clothing,South,876.0
2021-02-07,Clothing,North,1110.54
2021-02-07,Electronics,West,1867.91
2021-02-07,Electronics,East,1853.35
2021-02-07,Electronics,South,1671.25
2021-02-07,Electronics,North,2025.71
2021-02-07,Clothing,East,979.35
2021-02-08,Food,South,705.46
2021-02-08,Furniture,West,1189.95
2021-02-08,Furniture,East,1142.05
2021-02-08,Furniture,South,963.72
2021-02-08,Furniture,North,1054.61
2021-02-08,Food,West,786.72
2021-02-08,Food,North,808.17
2021-02-08,Food,East,743.88
2021-02-08,Clothing,East,1012.2
2021-02-08,Electronics,North,1600.03
2021-02-08,Electronics,South,1572.24
2021-02-08,Electronics,East,1623.25
2021-02-08,Clothing,West,918.05
2021-02-08,Clothing,North,963.87
2021-02-08,Clothing,South,708.86
2021-02-08,Electronics,West,1691.77
2021-02-09,Furniture,West,976.66
2021-02-09,Furniture,East,904.7
2021-02-09,Furniture,South,936.46
2021-02-09,Furniture,North,1190.77
2021-02-09,Food,West,665.58
2021-02-09,Food,South,641.66
2021-02-09,Food,North,790.82
2021-02-09,Food,East,654.84
2021-02-09,Clothing,East,723.07
2021-02-09,Clothing,South,853.87
2021-02-09,Clothing,North,946.9
2021-02-09,Electronics,West,1686.3
2021-02-09,Electronics,East,1492.28
2021-02-09,Electronics,South,1423.41
2021-02-09,Electronics,North,1902.77
2021-02-09,Clothing,West,1024.5
2021-02-10,Furniture,West,1086.96
2021-02-10,Furniture,East,1195.0
2021-02-10,Furniture,South,854.68
2021-02-10,Furniture,North,1099.65
2021-02-10,Food,West,846.41
2021-02-10,Food,East,827.05
2021-02-10,Food,South,704.84
2021-02-10,Food,North,786.53
2021-02-10,Clothing,West,905.36
2021-02-10,Clothing,South,765.4
2021-02-10,Clothing,North,923.88
2021-02-10,Electronics,West,1567.89
2021-02-10,Electronics,East,1551.23
2021-02-10,Electronics,South,1586.14
2021-02-10,Electronics,North,1730.55
2021-02-10,Clothing,East,653.31
2021-02-11,Furniture,West,914.81
2021-02-11,Furniture,East,1096.01
2021-02-11,Furniture,South,1008.5
2021-02-11,Furniture,North,900.17
2021-02-11,Food,West,871.46
2021-02-11,Food,East,701.37
2021-02-11,Food,South,672.44
2021-02-11,Food,North,754.76
2021-02-11,Clothing,West,868.97
2021-02-11,Clothing,South,748.06
2021-02-11,Clothing,North,898.79
2021-02-11,Electronics,West,1685.88
2021-02-11,Electronics,East,1588.4
2021-02-11,Electronics,South,1460.68
2021-02-11,Electronics,North,1762.5
2021-02-11,Clothing,East,840.35
2021-02-12,Food,South,604.01
2021-02-12,Furniture,East,985.08
2021-02-12,Furniture,South,982.61
2021-02-12,Furniture,North,1020.81
2021-02-12,Food,West,806.3
2021-02-12,Food,East,685.74
2021-02-12,Food,North,851.78
2021-02-12,Furniture,West,1052.99
2021-02-12,Clothing,East,908.69
2021-02-12,Clothing,South,898.25
2021-02-12,Clothing,North,857.31
2021-02-12,Electronics,West,1631.74
2021-02-12,Electronics,East,1460.5
2021-02-12,Electronics,South,1435.35
2021-02-12,Electronics,North,1731.17
2021-02-12,Clothing,West,1006.78
2021-02-13,Furniture,West,1110.26
2021-02-13,Furniture,East,1080.82
2021-02-13,Furniture,South,1127.46
2021-02-13,Furniture,North,1225.78
2021-02-13,Food,West,849.61
2021-02-13,Food,East,853.21
2021-02-13,Food,South,672.11
2021-02-13,Food,North,915.41
2021-02-13,Electronics,East,1744.77
2021-02-13,Clothing,East,1055.26
2021-02-13,Clothing,South,982.88
2021-02-13,Clothing,North,1050.64
2021-02-13,Electronics,West,2015.71
2021-02-13,Clothing,West,1071.44
2021-02-13,Electronics,South,1682.55
2021-02-13,Electronics,North,2050.19
2021-02-14,Furniture,East,1106.93
2021-02-14,Furniture,South,1065.29
2021-02-14,Furniture,North,1279.9
2021-02-14,Food,West,933.67
2021-02-14,Food,East,796.06
2021-02-14,Food,South,764.71
2021-02-14,Food,North,857.49
2021-02-14,Furniture,West,1220.32
2021-02-14,Clothing,East,1029.07
2021-02-14,Clothing,South,1053.73
2021-02-14,Clothing,North,972.79
2021-02-14,Electronics,West,2067.75
2021-02-14,Electronics,East,1671.77
2021-02-14,Electronics,South,1695.09
2021-02-14,Electronics,North,1847.63
2021-02-14,Clothing,West,1088.13
2021-02-15,Furniture,West,1123.41
2021-02-15,Furniture,East,1081.94
2021-02-15,Furniture,South,815.66
2021-02-15,Furniture,North,1159.61
2021-02-15,Food,West,712.98
2021-02-15,Food,East,730.62
2021-02-15,Food,South,625.12
2021-02-15,Food,North,768.86
2021-02-15,Clothing,West,938.71
2021-02-15,Clothing,South,773.73
2021-02-15,Clothing,North,959.62
2021-02-15,Electronics,West,1764.95
2021-02-15,Electronics,East,1466.9
2021-02-15,Electronics,South,1337.28
2021-02-15,Electronics,North,1791.3
2021-02-15,Clothing,East,846.14
2021-02-16,Food,South,628.56
2021-02-16,Furniture,East,936.06
2021-02-16,Furniture,South,836.81
2021-02-16,Furniture,North,1074.57
2021-02-16,Food,West,728.02
2021-02-16,Food,East,730.62
2021-02-16,Food,North,840.53
2021-02-16,Furniture,West,976.24
2021-02-16,Clothing,East,801.66
2021-02-16,Clothing,South,702.92
2021-02-16,Clothing,North,802.52
2021-02-16,Electronics,West,1788.97
2021-02-16,Electronics,East,1708.54
2021-02-16,Electronics,South,1538.14
2021-02-16,Electronics,North,1787.28
2021-02-16,Clothing,West,915.0
2021-02-17,Furniture,West,1229.75
2021-02-17,Furniture,East,1003.23
2021-02-17,Furniture,South,886.39
2021-02-17,Furniture,North,1223.09
2021-02-17,Food,West,771.34
2021-02-17,Food,East,873.57
2021-02-17,Food,South,676.38
2021-02-17,Food,North,767.68
2021-02-17,Clothing,West,966.57
2021-02-17,Clothing,East,785.86
2021-02-17,Clothing,South,798.76
2021-02-17,Clothing,North,986.14
2021-02-17,Electronics,West,1929.36
2021-02-17,Electronics,East,1499.9
2021-02-17,Electronics,South,1543.93
2021-02-17,Electronics,North,1677.51
2021-02-18,Furniture,East,1034.91
2021-02-18,Furniture,South,842.81
2021-02-18,Furniture,North,1142.09
2021-02-18,Food,West,818.38
2021-02-18,Food,East,716.05
2021-02-18,Food,South,656.27
2021-02-18,Food,North,758.11
2021-02-18,Furniture,West,1136.37
2021-02-18,Clothing,East,890.02
